1140640	.952757	106650
1215690	.986757	110307
1309570	1.09198	110574
1511530	1.17578	121974
1676730	1.16017	196606
1823740	1.17376	265609
2022890	1.29051	263451
2314760	1.39067	316411
2639160	1.61273	384110
3247620	1.82544	569251
3787750	1.54604	871636
3867750	1.5279	997239
3996020	1.6602	938002
4282880	1.82231	859572
4748320	1.93646	823411
569292	.520635	103795
640614	.534627	111477
777655	.655192	118664
999294	.791575	114797
1203970	.842945	215322
1358100	.852892	281704
1501350	.922843	304818
1709270	1	348609
2025400	1.19845	374579
2548370	1.34067	544109
3137740	1.32624	853356
3557700	1.24852	1003200
3717740	1.25432	941977
3962370	1.37177	856533
4209390	1.38974	821361
286298	.262424	118788
309290	.266433	123798
342056	.306043	122882
374595	.325586	131274
450037	.345706	222037
510412	.367517	278721
575347	.409937	306564
669331	.448023	356073
783799	.539595	378311
913883	.539382	555267
1041520	.467967	850322
1125800	.450544	1015610
1096070	.468793	954508
1198930	.494397	886999
1170470	.493317	844079
145167	.086393	114987
170192	.09674	120501
247506	.1415	121908
309391	.169715	127220
354338	.173805	209405
373941	.164272	263148
420915	.170906	316724
474017	.17784	363598
532590	.192248	389436
676771	.242469	547376
880438	.256505	850418
1052020	.249657	1011170
1193680	.273923	951934
1303390	.371131	881323
1436970	.421411	831374
91361	.051028	118222
95428	.052646	116223
98187	.056348	115853
115967	.066953	129372
138382	.070308	243266
156228	.073961	277930
183169	.084946	317273
210212	.095474	358794
274024	.119814	397667
356915	.150046	566672
432344	.144014	848393
524294	.1693	1005740
530924	.172761	958231
581447	.18667	872924
610257	.213279	844622
68978	.037682	117112
74904	.039784	119420
83829	.044331	116087
98148	.050245	122997
118449	.055046	194309
133161	.052462	307923
145062	.056977	323595
170711	.06149	363081
199775	.069027	386422
276797	.092749	564867
381478	.11264	874818
506969	.154154	1013170
633388	.186461	930477
804388	.246847	851676
1009500	.304013	819476
